NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_TEMPO_ADICIONAL,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
190005695347,2019,2304400,Fortaleza,23,CE,17,M,1,3,1,2304400.0,Fortaleza,23.0,CE,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,1,1,1,1,505.0,508.0,512.0,518.0,518.1,516.7,564.3,520.9,AABCDCCCDCECBBEDEEBBCADBBACDBBBEBCADECADDBEAD,ABABCDAEBBCACECBDEBAEDACDEDBADCCBCEACCBADABCC,99999BDDDDCCABCDACECCBBBCADBECCDEBDACDDBECECCAAEBE,DBBECBDDAEBBAEBECCABBCEEAECAADEADEBADBBEADBDD,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,120.0,120.0,120.0,120.0,100.0,580.0,G,G,D,D,4,K,B,E,D,B,A,B,B,B,A,B,A,B,B,A,A,E,B,E,B
190003578437,2019,2304400,Fortaleza,23,CE,22,M,1,2,1,2304400.0,Fortaleza,23.0,CE,1,5,1,1.0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,0,1,1,0,,509.0,514.0,,,507.8,556.2,,,BAAECECEACCBABAAEABADEACCACCBCEBBCDACEABBBADD,EBBAD99999BDCCBAECEBAADDBCADDECBDCECEDEBAEACCCBEEE,,0,,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,,1.0,120.0,120.0,120.0,100.0,80.0,540.0,B,B,B,B,3,C,A,B,B,A,B,B,A,A,A,A,A,A,B,A,A,C,A,A,B
190002549374,2019,2304400,Fortaleza,23,CE,25,F,1,3,1,2304400.0,Fortaleza,23.0,CE,1,7,1,1.0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,1,1,1,1,504.0,509.0,514.0,516.0,398.3,379.1,459.9,421.9,ABABCABBEEEBDCCADDBDCDBCDABEDADDBBCEBEEABCDCD,ABAECEDABDCECBAACEBACACEBCBABEAADEBBBDBAEACCE,99999EDEEBADCEECBADBAADDEEABBEBBAEBBCECAAAACDBABCC,CDAAEBEBECAEADABBCEADDDEAAACEABCACACBCAAEABCC,1,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,100.0,80.0,60.0,100.0,60.0,400.0,E,B,D,B,4,B,A,B,D,A,A,B,A,B,A,A,A,A,B,A,A,D,A,A,A
190005700665,2019,2304400,Fortaleza,23,CE,25,F,1,3,1,2304400.0,Fortaleza,23.0,CE,2,0,2,,0,23066920.0,2304400.0,Fortaleza,23.0,CE,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,1,1,1,1,504.0,508.0,512.0,516.0,426.6,476.7,508.0,410.0,CAECEDBABADEEDEBEBCDACAEBECBAABEDDBEBCCAEBDEB,DBADDCBDEEAEADEEABCADEEBDADBCBCEBDDBCBEBEADBB,99999DDCAACDBBEEDEBDBCACBADDADEDCABABDBAC*CECACAEA,CCAEDABEBEDEAADCBAADABEDCADBEBDBCAECDECDECDBE,1,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,100.0,120.0,100.0,120.0,40.0,480.0,E,E,D,F,5,C,A,D,D,B,B,B,A,B,A,A,A,A,C,A,A,C,A,A,B
190001175801,2019,2304400,Fortaleza,23,CE,64,F,0,0,1,2304400.0,Fortaleza,23.0,CE,2,0,2,1.0,0,23070978.0,2304400.0,Fortaleza,23.0,CE,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,H,A,C,B,5,F,A,D,D,B,A,B,A,B,A,B,A,A,C,A,B,D,B,B,B
190003612639,2019,2304400,Fortaleza,23,CE,19,M,1,3,1,2304400.0,Fortaleza,23.0,CE,2,0,2,1.0,0,23188545.0,2304400.0,Fortaleza,23.0,CE,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,0,1,1,0,,510.0,513.0,,,424.5,453.4,,,ADDBCBDDCBEADAACDAABCABDAADEECCBBABCDCDEACDBB,99999DCACCDDDBEACECECBDEDEEDBEEBCBDBCEABBCAEDBABDA,,1,,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,,1.0,80.0,160.0,80.0,120.0,0.0,440.0,H,D,F,B,4,B,A,B,C,C,A,B,B,A,A,A,A,A,B,B,A,A,A,A,B
190004311656,2019,2304400,Fortaleza,23,CE,18,M,1,3,1,2304400.0,Fortaleza,23.0,CE,2,0,3,1.0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,1,1,1,1,503.0,507.0,511.0,515.0,369.2,451.8,506.1,538.3,CEEBBECDDBDDABBACBADBDCBDDBDCBEBEABCECDEBAABA,DEBBAADEBBADECCAADCBCAEAEDBBCDEAAEBEADAEEDBBD,BBCEA99999BCBACBACECAACECDAEEBCECBDEDACABDCEEABADC,DABEDEACAECCBDEBACDEAEBCBDBEAECCEEBADCECADCCA,0,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1.0,120.0,200.0,160.0,180.0,160.0,820.0,F,F,D,D,5,C,A,B,C,B,A,B,B,B,A,B,A,A,B,A,B,D,A,A,B
190002549850,2019,2304400,Fortaleza,23,CE,16,M,1,2,1,2304400.0,Fortaleza,23.0,CE,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,1,1,1,1,503.0,507.0,511.0,515.0,576.5,609.0,609.2,766.6,AEECBCCEDDCDCDEDBBEACBCEACCDDCABEDBEADCEDCBBB,EABCCBCBCBCCACEEEDCDCACBEABCCAECD.DAADBAEAACB,99999ABAADCCBAADDEECDAAECBAEAEBDBCDDEBAAADBBBDDCDE,ECEADDEBAECBCEEACEECAAEBCADECEDCEABBDACADCBEA,1,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1.0,160.0,160.0,140.0,140.0,120.0,720.0,E,E,B,D,3,D,A,B,C,B,A,B,A,B,A,B,A,A,B,A,A,D,A,A,B
190005703523,2019,2303709,Caucaia,23,CE,24,M,1,1,1,2303709.0,Caucaia,23.0,CE,1,7,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,1,1,1,1,506.0,508.0,512.0,517.0,616.1,614.8,614.7,665.8,DEADDCAAEBBCDEDCDBBDDAEABDABCDDEEDADEBECCDCBD,EBABACBECDEEBCBABCEDEDBAAEDBBAAABBCCCCBAECCEC,BBEDA99999CBABAECEBCCAECEEDBDDCEEDAAADDEECECCAAEED,AAEABCEBEDEBDDABACCECCABCEDEDAAACBDEEABCCEDDA,0,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,180.0,140.0,160.0,120.0,120.0,720.0,E,D,B,B,2,F,A,B,C,A,A,B,A,A,A,B,A,B,A,A,A,C,A,C,B
190002766587,2019,2304400,Fortaleza,23,CE,20,M,1,3,1,2304400.0,Fortaleza,23.0,CE,1,3,1,1.0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,1,1,1,1,504.0,507.0,511.0,516.0,536.5,451.9,560.0,551.6,CDBEAEAEEBDBEADCDEBBABCEBADCDABDEDDEDDBADAABB,ACBCDBACABBCEACACECDAABCADBEBCBEACAEDADDECBAD,CDABE99999CDBABEDEECDACECBECECAABCCAEBAACDEBCCCBAE,AEEECBABCECBACCBABECBECEADBBCBABEDABDEBBEEEBC,0,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,120.0,40.0,40.0,120.0,0.0,320.0,C,D,C,B,3,C,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,D,A,B,B
